datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
09-08-2017 12:08,68.00960526,63.0725,60.06125,60.66666667,54.03875,51.0275,46.09039474,57,59.95,55,55.6,21845
10-08-2017 12:08,60.604,58.3225,56.96125,56.85,54.23875,52.8775,50.596,53,56.9,53,56.35,2520
11-08-2017 12:08,60.49650943,58.495,57.4225,55.41666667,55.2775,54.205,52.20349057,61,61,51.2,54,17926
14-08-2017 12:08,64.3359375,59.39,56.695,55.4,51.305,48.61,43.6640625,58.9,58.9,51.8,52.5,10739
16-08-2017 12:08,59.69594595,56.405,54.4525,54.4,50.5475,48.595,45.30405405,52.5,56.5,52.5,55,12426
21-08-2017 12:08,54.1,54.0775,54.06375,54.06666667,54.03625,54.0225,54,56.95,56.95,51.7,54.7,1645
28-08-2017 12:08,55,54.325,53.9125,54,53.0875,52.675,52,54,54,54,54,113
30-08-2017 12:08,53.1,53.1,53.1,53.1,53.1,53.1,53.1,54.65,54.65,52.6,52.6,938
31-08-2017 12:08,54.65,53.7275,53.16375,53.28333333,52.03625,51.4725,50.55,52.15,53.8,52.05,53.8,1051
01-09-2017 12:09,55.60883766,54.7625,54.28125,53.21666667,53.31875,52.8375,51.99116234,53.8,55.95,53.8,55.25,3402
04-09-2017 12:09,57.4579461,56.4325,55.84125,55,54.65875,54.0675,53.0420539,55,55,52.45,52.5,300
05-09-2017 12:09,55.05243089,53.9025,53.20125,53.31666667,51.79875,51.0975,49.94756911,54.4,54.45,52.7,53.55,3495
08-09-2017 12:09,56.45,55.82,55.435,55.51666667,54.665,54.28,53.65,55.05,59.3,54,55.3,14810
11-09-2017 12:09,60.72759259,58.215,56.7575,56.2,53.8425,52.385,49.87240741,53.05,58.15,53.05,57.05,9344
12-09-2017 12:09,62.53454288,59.855,58.4525,56.08333333,55.6475,54.245,51.56545712,55,56.35,53.6,54.75,5495
13-09-2017 12:09,57.55900187,56.2625,55.50625,54.9,53.99375,53.2375,51.94099813,56.5,56.5,54,54,203
